id;Title_course;Name;Date;Feedback
11;technical-support-fundamentals;By Dixit P;March 06, 2018;Awesome course designed by google. Thank you very much. Knowledge gained in just introductery leactures started burning desire in me to complete whole syllabus. Every bit of program is worth the time.
12;technical-support-fundamentals;By Alexander D;April 10, 2020;Well made and simple to understand, had previous experience and it was dead on. Great for beginners and a great refresher for people trying to get a cert for their resume or to expand their knowledge.
13;technical-support-fundamentals;By Dustin H;November 15, 2019;I loved how useful all of the information in this course was.  I love how much the instructors really seemed to be so in love with their careers. Its the most fun I've had learning in a very long time. 
14;technical-support-fundamentals;By Tim R;May 13, 2020;Very enjoyable forums, videos, and interaction as a whole. I have taken similar classes in the past but the way that this course works makes it so much easier for me to be interested and stay focused.
15;technical-support-fundamentals;By Dawn V;February 03, 2019;Currently at end of Lesson 3 in Tech Support Fundamentals Thus far the information has been very simplistic.  The only challenge I've had, ironically, is one of the main reasons I signed up for this course. I was tired of searching countless websites, help FAQs to find reliable instructional materials. In lesson 3, one of your video modules featured text that varied from video. And the challenge, trying to get the multiple VM instances for assignments to correctly function per your lesson instructions.Your multiple instruction modules for Quiklabs and Linux VM instances, and the Windows instance, could use revamping. Especially since the lesson on Quiklabs is combined with Linux assignment instructions. The Windows instructions, though the Win assignment is first, differ slightly between the various readings and videos. Since I am between above-average and advanced user of PCs and Windows, I was frustrated with the time wasted in setting up VM Quiklabs environment for assignments that would take minutes to complete. I've been methodically pursuing self-education, interspersed with college courses when able, for years. I hoped your Google IT Support courses would provide documentation of my studies, and eliminate sorting through the growing internet flotsam to find educational resources. I intend to give this course another week or so. However if lesson levels remain low, and/or the problems of VM Quiklabs are not easily resolved, I doubt I'll continue. Respectfully, Dawn Volk
16;technical-support-fundamentals;By Christopher L;March 04, 2019;A lot of technical issues with labs that made the class very frustrating to try and complete, especially when you have to pass the labs to move on. Had no other issues with the class then that.
17;technical-support-fundamentals;By Joseph N;September 30, 2018;There are a few mistakes in the video where the person spoke the wrong thing, Those video should be redone so it doesn't look unprofessional for Google. But at least they are not boring. I was dissipointed with the lab especially on the linux one which should been easy, but the grading system doesn't want to update my score. 
18;technical-support-fundamentals;By Stacy G;June 13, 2019;If your aim is to be a user-facing IT support staff, and not someone working in the backend of a datacentre, this is pretty essential stuff! The content is kind of dry but it's presented in a good way. I wouldn't recommend this course on its own (as in, not part of the Google IT Support Certification) if you are looking to just work with computer systems or backend duties, however - I think you'd be better off focusing on the more technical offerings from this course!
19;technical-support-fundamentals;By Preda;May 20, 2019;This was a terrific course for a high level overview of what is to come in the rest of the Google Professional IT Support course. All the speakers were energetic and their strong interest in their respective areas were very encouraging for me as a student. After the Technical Support Fundamentals course, I really felt like I wanted to continue with the rest of the courses. I am now learning the Bits and Bytes of Computer Networking because of this course.
20;technical-support-fundamentals;By TJ ( H;May 21, 2019;This is a great overview of all the basics for beginners or a fantastic refresher for anyone looking to move into a more advanced support role. 
21;technical-support-fundamentals;By Ned R;April 07, 2018;Great content, but I couldn't get the Linux graded assignment to work. After a few days of back-and-forth with customer support, I was about to quit the certificate, but they out of nowhere approved the work I'd done despite their previous refusal to accept my screen shots. I guess I'll keep going?
22;technical-support-fundamentals;By LaTryce J;February 18, 2019;Getting to windows through Qwiklabs with the password (typing several times) and it not logging me in is a pain!  I am using a Mac Pro OS.  Not easy and taking several hours to achieve.  Very frustrating.
23;technical-support-fundamentals;By Reuben K;September 13, 2020;Great course! Good start for any IT career. I love the fact that there are no pre-requisites required to enroll. Not even a high school diploma needed just your willingness to learn. Thank you Google!
24;technical-support-fundamentals;By Deon B;June 16, 2019;It was mostly informative, especially the building a PC section. But that same section has two options for the exam, and one of the options will still appear after you have done the other. That makes your progress appear to be stunted on that section, which is confusing.
25;technical-support-fundamentals;By Arif A;January 15, 2019;Really easy and effective way to learn in this day and age where people do not have time to go to the classroom.
26;technical-support-fundamentals;By Billy R R;March 16, 2019;Very accessible and entry level.  Can breeze through it in a day if you already know the material and don't feel OCD about skimming or taking notes you can simply skip to the chase and knock out the tests.  As far as material goes, it's decent, but the transcripts are filled with typos which makes it difficult for someone new to the information to pick up accurately if they don't know the jargon.  Many of the tests which require moving things around in a browser window are buggy or extremely poorly designed.  The multiple choice and peer reviewed tests are decent.
27;technical-support-fundamentals;By Abshishek R;March 04, 2020;You were such a hit. Thanks for this course and the next five more!  On behalf of our entire organization, thanks again for taking the Conference to a whole new level of education and professionalism!! 
28;technical-support-fundamentals;By Jacob M;September 25, 2020;This course really is foundational. The instructors are awesome, the labs are relevant and they all work! I have gained so much knowledge just from this course. I can't wait to further this knowledge.
29;technical-support-fundamentals;By Jitu p;April 24, 2020; Great course for beginners and experts. Easy to understand  and a good  refresher for those who have been into IT for a long date. Recommend it  to everyone looking for a high quality course on coursera.  
30;technical-support-fundamentals;By Ariel G K K;June 13, 2020;Thank you very much for this amazing course, I learned a lot and I am very excited to start a career and to apply what I have learned.  Thank you very much to all the lecturers and thank you to Google. 
31;technical-support-fundamentals;By Ishara M C;May 16, 2020;Great course for beginners and experts. Easy to understand and a good refresher for those who have been into IT for a long date. Recommend it to everyone looking for a high quality course on coursera. 
32;technical-support-fundamentals;By Thomas M;April 17, 2020;Amazing introductory course, well structured and well presented with exercises and hands on labs. If you're looking to learn the fundamentals of computing, this is a great place to start your journey. 
33;technical-support-fundamentals;By Endri S;June 04, 2020;This was a very fun course! I really enjoyed the style and pace of the information given. A lot of technical information was given while the course made it easy to take in and comprehend the material!  
34;technical-support-fundamentals;By Anwar A  E;November 26, 2020;It was great learning with all the mentors and I learned lots of new things and also get to know about the experiences of the mentors themselves. Also, I am looking forward to continuing this journey.  
35;technical-support-fundamentals;By Grzegorz S;May 04, 2020;Still a great refresher to me and listed in a comprehensive manner which I am thankful for even though I knew some or even a lot of these fundamentals already in a distant and previous life of mine…
36;technical-support-fundamentals;By Tommy P;April 14, 2021;This course was a friendly and educational start to the certificate, I will recommend this to anyone either looking to develop skills in IT or if they just want to gather more skills for personal use.
37;technical-support-fundamentals;By Ronald P;June 05, 2020;This course is excellent for those who would like to learn the basics of IT and would like to broaden their knowledge. I enjoyed seeing videos from multiple instructors who actually work in the field. 
38;technical-support-fundamentals;By Vernessa M;October 24, 2020;I would recommend spending hours completing your course if your are currently unemployed and have the time to spare time to learn a new skill to improve your career, its precise, easy and informative. 
39;technical-support-fundamentals;By Chava V R;July 19, 2020;This is such a wonderful course that I had ever. Especially that role plays in week-6 about customer service is pretty awesome. Thank you google for making us knowledgeable and enjoyable both at time. 
40;technical-support-fundamentals;By YALAGANDULA S C;May 25, 2020;Great course for beginners and experts. Easy to understand and a good refresher for those who have been into IT for a long date. Recommend it to everyone looking for a high quality course on coursera.
41;technical-support-fundamentals;By Shannon L A;January 20, 2021;Starting from scratch, I feel like I've gained a great basic understanding of IT support. It was informative, and it has motivated me and left me hungry for more. I am excite to start the next course!  
42;technical-support-fundamentals;By Juan B;August 05, 2020;I enjoyed all the presenters of the videos, they really took their time to get me involved and explained all the content clearly. I also enjoyed the videos that talked about current and future trends.
43;technical-support-fundamentals;By Pedro l;August 08, 2020;excellent, the content contemplates fundamental concepts in many areas, allowing participants to have a clear and general view of the world of it support regardless of prior knowledge. Congratulations
44;technical-support-fundamentals;By Ronald H B;February 20, 2021;This was an excellent course even for a novice in IT.  The only thing that I would add is a glossary of terms so that they could be readily accessed during the course-----so many terms, so little time.
45;technical-support-fundamentals;By Deborah T;September 01, 2020;I enjoy this course and highly recommend it to students with now prior experience in the IT area.  I also recommend this course to students who are returning to the IT area and need a freshener course.
46;technical-support-fundamentals;By John V;May 10, 2021;This is an amazing course for both a complete NOOB and self taught geek like myself. If you're thinking about taking this course I HIGHLY recommend it and PROMISE you'll learn something very valuable.
47;technical-support-fundamentals;By Jiun-Ren W;January 02, 2019;This was a great introduction to the field of IT. As someone who hasn't been in a classroom setting of any kind in almost 15 years, this program was paced really well and gave me lots of opportunities to succeed in my learning. Can't thank the team that supports this enough.
48;technical-support-fundamentals;By Constantine C;March 22, 2019;"Qwiklabs suck big time, look what I just got in my mail: ""Hello Constantine,Let me introduce myself, I am Priyanka at Qwiklabs and I am in charge of your happiness. Priyanka from Qwiklabs"" Not only their systems are not working and choose to ignore all those people complaining, their support staff are rude too. So much for ""Technical Support Fundamentals"", ah, the irony! "
49;technical-support-fundamentals;By Leung T Y;July 07, 2020;Preview of the course: This is an apple, apple is a fruit.  For everything else, you can check it out at the next Supplemental Reading for apple. So we learned about the apple in the last section, now we learn about apple juice.  We put the apple into a grinder to make juice.  Details are in the next supplement reading.  
50;technical-support-fundamentals;By Vidish p;March 26, 2018;took the money n does not update assignment in week three despite completing it numerous times... a common complaint from other students. Now the money is gone, course completed but no certification and no helpline to talk to.
51;technical-support-fundamentals;By Shana T;March 26, 2020;Very good overview that was quite informative. I appreciate the format of the course with the videos, quizes, discussion and assignments. I look forward to the next courses and completing the program.
52;technical-support-fundamentals;By Andris R;November 14, 2020;El curso te permite iniciar en el mundo de el soporte TI al ofrecerte las herramientas y conocimientos esenciales que colocan las bases para trabajar como profesional del soporte TI. Gracias excelente
53;technical-support-fundamentals;By Helena V;February 12, 2019;Learning the fundamentals is essential to understand how everything works. 
54;technical-support-fundamentals;By Nima M;July 20, 2022;Great course for beginners and experts. Easy to understand and a good refresher for those who have been into IT for a long date. Recommend it to everyone looking for a high quality course on coursera.  
55;technical-support-fundamentals;By Prasun K;April 10, 2022;It was great learning with all the mentors and I learned lots of new things and also get to know about the experiences of the mentors themselves. Also, I am looking forward to continuing this journey. 
56;technical-support-fundamentals;By Hassan M;December 28, 2021;This course clarifies everything you need to clear your basics for Technical in IT. Even though I am already in IT Field but i come to know some new methods and techniques for troubleshooting process.
57;technical-support-fundamentals;By Creston L;November 28, 2018;It's trivially simple, but for some reason I'm stuck waiting for a peer review.  Why should the willingness of others to grade my work inhibit my progress towards this course? The Peer review system is the biggest weakpoint of this cert-program. Major problem.
58;technical-support-fundamentals;By Greg s;April 09, 2020;"Made it to end of week 5...Too many software glitches (with Quicklabs /graded tasks) to continue...Even the Quicklabs Chat line could not even fix them or help ""during the five (5) times I tried to complete the two ""week five"" graded tasks...I am going to unenroll till GOOGLE fixes this problem...I wanted to to do this so bad...I could taste it...I wanted to work for GOOGLE after earning this certif., but, I feel it is impossible for a person like me (living with disabilities) to deal with so many software malfunctions currently associated with the courses' Quicklabs /graded tasks...GOOGLE: If, you read this...please contact me...so I can to finish this course , once you get these problematic software glitches (in this course) fixed as i really want to work for you (GOOGLE  ) ... The instruction and instructors were GREAT...Just the software glitches (with Quicklabs /graded tasks) were the roadblock... Example of problems experienced in one of the attempts: Could not proceed with ""install, update, and remove software in linux"" lab as putty.exe would not run due to (fatal error message)...qwiklabs download ppk would, also, not run and an error message stated ""this file does not have an app associated with it."" "
59;technical-support-fundamentals;By Oisin;June 23, 2018;Dont waste your time with this garbageThe first time you'll try and log into quik labs it'll all come apart - Click RDP it says - sure - then sit there like a sucker looking at a grey screen
60;technical-support-fundamentals;By L P;December 29, 2018;I don't think my end has had issues since I needed to create a folder with window assessment. I had exceed the testing but after 15 trials-the trouble is not from my end but your courses.
61;technical-support-fundamentals;By Deleted A;July 16, 2020;BAD BAD online course !!  BAD instruction given.  VERY HARD to follow or understand course steps or instruction.  CAN NOT CALL AND GET HELP!!!   call me 704-737-2336.
62;technical-support-fundamentals;By Jose L R S;May 07, 2019;Fácilmente entendible. Da una amplia visión del mundo IT y te deja con ganas de seguir descubriendo este asombroso mundo.
63;technical-support-fundamentals;By Preston;April 27, 2019;I enjoyed the course. It felt too easy at times, content wise, but as Google has stated it is designed for people that have little to no experience with IT. I think a better way to describe it might be for people who have little to no experience with computers. If you use a computer regularly in your personal life or at work, you might find some of the content a little watered down. If you have no experience in customer service the 6th week does provide useful tips. At the same time, I totally understand the necessity of laying a basic foundation for a field of study that is likely foreign to most of those enrolled. This course is trying to lay the groundwork for the subsequent courses by introducing you to the material and how the course itself works.  I have two main issues with this course. Grading/quizzes: I think the quizzes should be more extensive for sections 2-5. Peer review is a good way to supplement what you are learning but does not make a good grading tool. The rubric is so minimal in week 6 (documentation section). It would have been more helpful to just read more examples of good and bad documentation. I understand the limitations of an online course with thousands of people enrolled. It would be impossible to manually grade assignments, but if the courses were free and Google charged for an exam to get the certification similar to how other IT certifications work, that would negate these downsides.  Supplemental Reading: The supplemental readings are usually links to Wikipedia pages or websites. In most cases the Wikipedia pages go in fairly in depth past the general summary. This is definitely a field that strongly encourages independent and supplemental study and I can understand the course reinforcing that, but considering the fundamental nature of the course, I would have liked to see some more options alongside Wikipedia entries. It is not to say that Wikipedia entries are not helpful, but I expected for a paid course there would be something a bit more curated. Overall I learned from this course and enjoyed the experience, but the reasons listed above are why I gave it 3 stars. 
64;technical-support-fundamentals;By Anthony R;June 16, 2019;"This specific course is fairly useless in all honestly. I finished all 6 weeks worth of work within 4 hours. The class goes over what Binary is (something which you don't need to know as a support specialist even as a senior specialist or high level manager), how to install/uninstall software, how the internet works, and how you should use common sense when writing out documentation. 95% of this course if fluff and can be summed up in three simple Google searches (ironic isn't it?) This specific course will just waste your time with redundant tasks. I spent 30 minutes (28 minutes of that was waiting for access to QwickLabs) proving I know how to install software. If I'm using an online learning platform like Coursera and accessing RDPs/SSH it is extremely unlikely I wouldn't know how to use a web browser or install one. Likewise no one I have ever met in my 10+ years in IT has ever needed to count in binary unless you're doing cryptography which is entirely different than standard ""support"". That's a whole other specialization that requires far more demanding study. I think this entire course should be made as a free supplemental material and dropped from the Google Professional IT Support Certification requirements."
65;technical-support-fundamentals;By Benjamin S;May 22, 2020;Basically an IT course for Boomers. If you're under 45, you likely already know all this.
66;technical-support-fundamentals;By Ann H;March 15, 2020;I really enjoyed learning so many new things. It would be nice if there had been a bit more instruction on Qwiklabs. Is there a glossary of terms and acronyms on the site I am missing. I asked on the message board but never received a response. I will double-check that in a moment. Are there books you recommend we read as we go through the learning process? Finally, the tech team was most helpful in answering my questions THANK YOU!!!  Ann Happ
67;technical-support-fundamentals;By Elianeth F;January 25, 2020;This course has helped me to refresh and update many things, I have a technical background but I had separated a little from the theory. It is a very good way to start training in this wonderful career of IT Support, of the things that I liked the most has been to understand how the internet works, handle procedures that save you time, the detail of customer support. I am ready to advance to the next level. Thank you Google and Coursera.
68;technical-support-fundamentals;By Nishant K G;April 20, 2020;When I started this course I just had a basic knowledge about Computers, but after completing this course I feel like I know about Computer (Hardware, Software, Networking) now, obviously, there's a lot to learn about Computers, its a very vast field, but this course helped me build my foundations on Computer. Thanks, Coursera and Google!
69;technical-support-fundamentals;By Ariana B;January 02, 2019;Very helpful in giving you the basics and foundation to build upon. I recommend this course even if someone has already taken something similar. It never hurts to level set and make sure your foundation for learning and understanding is solid.
70;technical-support-fundamentals;By Karthik M;December 04, 2018;It worth reading and going through videos . Thanks Google 
71;technical-support-fundamentals;By Felipe G;December 04, 2018;Great course for a beginners!!! Totally recommended
72;technical-support-fundamentals;By SALUNKE S P;May 28, 2020;iam not getting my proper name on certificate
73;technical-support-fundamentals;By Delana S;November 20, 2018;G
74;technical-support-fundamentals;By Marco R;March 01, 2020;Really good course for those wanting to sink their teeth into IT and also a good refresher for those who've been into technology for a while. There are some minor bits newcomers will be confused on due to the course forgetting some things but it's overall something I'd recommend to someone.
75;technical-support-fundamentals;By DAVID E M V;September 01, 2020;thanks Ahora en mi idioma original Muchas pero muchas gracias, a decir verdad es mi primera experiencia, pero ha sido la mejor, siento satisfacción y honra, al tener personas tan pero tan preparadas y tan humanas y excelentes personas, no tengo como describir mi emoción, a ustedes muchas gracias, y espero poder tener maneras de seguir aprendiendo de ustedes, solamente me dieron 2 meses y no pude tener mas que esto, pero igual, espero poder aprender mas de ustedes por este medio o directamente de ustedes, muchas gracias. 
76;technical-support-fundamentals;By Thomas J;October 29, 2020;This course was a great introduction to the aspects of Tech Support. The instructors were great, the content was kept basic enough for someone who is coming in with no knowledge whatsoever. I was familiar, at a basic level, with many of the subjects but it just resulted in my going through the estimated 6 weeks in about a week and a half. I expect that I will slow down that rate as I take a deeper dive into these subjects and end up out of my comfort zone.
77;technical-support-fundamentals;By Sir E;July 20, 2022;The Course is great. I've been a Systems Administrator for the past six years but decided to take this as a refresher and I'm truly refreshed with new ideas and important tools. Can't be happy enough!
78;technical-support-fundamentals;By Sumanth H S;February 04, 2022;Great course for beginners and experts. Easy to understand and a good refresher for those who have been into IT for a long date. Recommend it to everyone looking for a high quality course on coursera.
79;technical-support-fundamentals;By Christine L R;October 29, 2020;good beginning course
80;technical-support-fundamentals;By Baryliuk Y;August 01, 2020;This course teaches about IT security yet it requests to publish photo of passport to unknown checking service. When leakage will happen nobody will compensate my troubles caused by the leakage.
81;technical-support-fundamentals;By Duke B;May 16, 2020;I'm not sure why I wasted my time to be some kind of customer support representative for problems my grandmother would call about. I only have myself to blame.
82;technical-support-fundamentals;By Bryson D;April 08, 2020;This stuff is taught in middle school. I didn't learn a single thing. What a joke to charge $50 for this...
83;technical-support-fundamentals;By Jigme L;August 17, 2020;in this course i completed all and i am not getting certificate. am not happy with that but i leaned lots
84;technical-support-fundamentals;By Michael H;July 30, 2020;Too simplistic. This may be best for someone that has no understanding of computers. 
85;technical-support-fundamentals;By Mauricio C;June 27, 2021;it doesnt teach you enough to become an IT technician, just a waste of time
86;technical-support-fundamentals;By AADARSH J;May 18, 2020;Not get certificate
87;technical-support-fundamentals;By Divan;April 11, 2020;Thanks for the course! The Only things is the certificate is not signed by Google so it looks kinda fake.
88;technical-support-fundamentals;By Mohammad A F;April 11, 2021;This course has to be the best course you can do in my opinion starting from the ground in the IT Field no matter if even you have come from a different field, trust me this course is for you and other beginners in the IT field you may know of and once you finish the course and receive that certificate in your hands, you say to yourself, WOW! I really have done it! and that's exactly the feeling I got. This course does not also give you the best feelings once completed but also gives you the knowledge that may take a year of schoolwork in just 6 weeks which you can easily complete each week of work if you are at an intermediate stage of IT before you start the course in just a day each, so you may be able to finish the course in just 6 days like me before even your trial ends if you have the time to do so and if you are feeling sceptical about it just remember that you have time to cancel before the trial ends so there is no worry whatsoever but I wouldn't think at all that, that would be necessary. Even if you are the best of the best or even the worst of the worst, my point is that there are things you will 100% learn even at the highest or lowest level while keeping you entertained throughout it! I do hope this review helps any people who are on the verge of doing it or not but just remember that you have to commit when you enrol and you will find about other students just like you of which you will be able to interact with. Overall, This course is the best for people coming from different fields or even just the highest fields of it to give a refresher and gives you tips, tricks and also a lot of learning in depth of topics such as making a computer or less technical things such as customer service and how to interact with them in awkward for you situations and turn them in the best scenario possible. Many Thanks for anyone who read through and hope that it cleared up any doubts that people were having. Goodbye!
89;technical-support-fundamentals;By SUNDAY C O;June 03, 2021;"Before now, I was really ignorant of all I have successfully learnt here. I was just a mere user! But today, thanks to Google, I have a clear idea of computer networking; computer assemblage(although I will continue to read deeply on them); the history and usage of the internet, how the computer works using binary; troubleshooting and various technics to solve customers' IT problems. It is amazing the training on how to relate with a customer in the process of troubleshooting. A lot of experiences and knowledge have been garnered from this course, and I am eternally grateful to Google and Coursera. Although this IT Support programme is fundamental, it is the bedrock and platform on which many of us would build our careers in this noble Information and Communication Technology industry. I am so elated to have learnt all that I learnt here and to be hopeful that one day, I will be tasked to put them to test by solving IT problem. I am so happy for the experience I have gathered in this course. I, therefore, give God, Google and Coursera the glory, thanks and appreciation respectively."
90;technical-support-fundamentals;By Neo S M;October 10, 2019;Having to do this course helped me a lot. I now have the Adhoc fundamental skills to grow my business both in tech support and customer service aspects. I enjoyed learning about remote support possibilities and working on virtual machines. That was pretty awesome. I struggled a bit with connecting to the Linux VM, however, tends out I had to use another different network. And, lastly, I am really looking forward to the next course. Thank you so much for funding me. I really appreciate it. If I could find you who have approved my application, I would buy you coffee - as a token of appreciation. Thank you so much. Looking forward to the next course.
91;technical-support-fundamentals;By Purbasari C S;June 03, 2021;This course is perfect for beginners willing to jump in into IT industry but don't know where to start. I am working as a Junior Software Engineer however I have no background related to IT at all. I faced a lot of problems at work due to my lack of IT knowledge. Personally, this course has strengthen my fundamental IT skill and it helped me to cope with unnecessary headache at work. There's also a lot of 'That makes sense now' moments after taking this course. whether you want to be a Web Developer, IT support, or even AI Engineer, if you're a total beginner in IT then this course is a perfect start.
92;technical-support-fundamentals;By Beethoven P M;October 25, 2020;"There is something that I always learned in life "" when you like something and you do it with passions, it is a good path to the successful route "". From the first introduction module to how to get through a Technical interview, I have learned a lot and make a lot of experiences such as the best practice to troubleshooting,  an exciting experience in mastering now the binary code by reading and making more search about it, a small language detail between bytes and bit could be a huge difference. Practice times! Virtual machine - Accessing Qwiklabs, I think we need to insert more practice modules."
93;technical-support-fundamentals;By Haitham k;September 17, 2021;Hello everyone, i would like to say that my experience during this course was really amazing i have learnt too many different things in IT field .This course enhanced my previous experience in the field and gave me the motivation to continue other courses in the IT ,of course thanks for all the instructors who provided us with all necessary information that we need to finish and pass this course .In conclude , i would like to thank Coursera and Google who gave me the opportunity to do this course looking forward having more course Haitham Kondukji 
94;technical-support-fundamentals;By Jesulayomi O;December 13, 2021;"The most interesting thing I learned in this course is the assembly of the hardware components. It was interesting, hands-on task that gave a visual explanation of how the hardware components of the computer are arranged. I struggled in one of the graded assessments on operating system; I kept on mixing up File data and file system and didn't realize until my third trial. Yes, i'm looking forward to taking the next course. The 'first impression' of this one was really magnificent."
95;technical-support-fundamentals;By Kyle S J;January 21, 2019;Delightful intro and information into the IT realm. I'm so excited to see the next group of courses. I was able to complete this in 6 days, so I think the timeline of 6 weeks was very loose. Instructors were super intelligent and I thoroughly enjoyed their words of wisdom at the end of the subjects they were teaching. Having their insight is like having a great friend in the industry. I can only hope to attain a job as a support tech asap!
96;technical-support-fundamentals;By Donna S;July 16, 2020;In the beginning I thought we were only learning technical terms and I was a bit disappointed but as we got into the lessons, boy was I wrong! Having no technical knowledge at all, we got into the nuts and bolts of installing hardware, software etc. After having issues with my computers i learned about the cloud which was also a plus. I feel quite a bit more knowledgeable in IT. 
97;technical-support-fundamentals;By Piyush A;June 10, 2020;This course is very intresting if you are a beginner then also as they teach you from the basic to end which is very helpful if you want to do further course in IT department. they also teach you to assemble the computer and tell you the history of computers in a very brief way which is also easy to understand. I recommend this course to all who want to move ahead in IT courses.
98;technical-support-fundamentals;By Rhenado S B;August 23, 2020;The Technical Support Fundamentals module started by building from the foundation by introducing the history of computers to understanding concepts of how computers connect and communicate on a network. The modules also introduce identifying parts of a computers and how to implement troubleshooting best practices in solving an issue in an efficient and effective manner.
99;technical-support-fundamentals;By Laura A;February 13, 2022;I'm very grateful to have discovered this educational track, and to have access to it very inexpensively. I worked in IT for a decade, and then took about a decade off to raise my children, and this was a very positive, and encouraging way to reenter the world of tech and update my knowledge base with easily digested content
100;technical-support-fundamentals;By Saleh E S;May 06, 2021;priceless information, very unique teaching ways, very Enjoyable journey, the instructors super friendly and clarifying every piece of information in a very professional way and they are funny too, I loved everything about this course and totally recommend this course to everyone interesting in IT world.
101;cloud-computing;By Shana N;Nov 7, 2022;This is a highly recommended course for starting to learn about the basics about Cloud Computing and advance off from here, as it is an eye-opener for me to know there are so much more other related concepts & knowledge I need to know to grasp about the current Technology and Businesses concepts.
